id;id_commune;libelle_commune_min;libelle_commune_maj;id_departement;id_region;actual;epsg4326_lat;epsg4326_long;codes_postaux;id_commune_actuel
29216;33444;Saint-Martin-de-Sescas;SAINT-MARTIN-DE-SESCAS;33;75;1;44.58687104181157; -0.16505675290167043;33490;
29217;33530;Teuillac;TEUILLAC;33;75;1;45.09652831547227; -0.5472274731402411;33710;
29218;33551;Villeneuve;VILLENEUVE;33;75;1;45.08528486987164; -0.6292444370456055;33710;
29219;34023;Balaruc-les-Bains;BALARUC-LES-BAINS;34;76;1;43.446941302606625; 3.6907000474794445;34540;
29220;34041;Brignac;BRIGNAC;34;76;1;43.62205040840875; 3.4707658352903215;34800;
29221;34083;Combes;COMBES;34;76;1;43.60243180610739; 3.0480309836804094;34240;
29222;34087;Cournonsec;COURNONSEC;34;76;1;43.54028741764482; 3.70272329953997;34660;
29223;34091;Le Cros;LE CROS;34;76;1;43.88067221461616; 3.363067248638323;34520;
29224;34094;Espondeilhan;ESPONDEILHAN;34;76;1;43.43775749580061; 3.2584498219622167;34290;
29225;31263;Lagardelle-sur-Lèze;LAGARDELLE-SUR-LÈZE;31;76;1;43.41424083150747; 1.3932690397433591;31870;
29226;31267;Lahitère;LAHITÈRE;31;76;1;43.14173838603135; 1.1855436106851098;31310;
29227;31272;Lapeyrère;LAPEYRÈRE;31;76;1;43.20478528144412; 1.311057231360075;31310;
29228;31285;Lavalette;LAVALETTE;31;76;1;43.63914290492039; 1.5924355832920307;31590;
29229;31338;Menville;MENVILLE;31;76;1;43.679387522154876; 1.1878833990752566;31530;
29230;31378;Montgaillard-sur-Save;MONTGAILLARD-SUR-SAVE;31;76;1;43.254659535377606; 0.716827233246491;31350;
29231;31387;Montoussin;MONTOUSSIN;31;76;1;43.279927186761014; 1.0112328582296068;31430;
29232;31412;Péguilhan;PÉGUILHAN;31;76;1;43.32286670973314; 0.7014343769201362;31350;
29233;31457;Roquefort-sur-Garonne;ROQUEFORT-SUR-GARONNE;31;76;1;43.15995243268739; 0.9868481023932621;31360;
29234;31465;Saccourvielle;SACCOURVIELLE;31;76;1;42.81836956749457; 0.5686323311338968;31110;
29235;31477;Saint-Élix-Séglan;SAINT-ÉLIX-SÉGLAN;31;76;1;43.196061596038284; 0.8495130497117345;31420;
29236;31496;Sainte-Livrade;SAINTE-LIVRADE;31;76;1;43.64872729064929; 1.1121484944863105;31530;
29237;32070;Cahuzac-sur-Adour;CAHUZAC-SUR-ADOUR;32;76;1;43.63694023768659; -0.02751986441750333;32400;
29238;32094;Caupenne-d'Armagnac;CAUPENNE-D'ARMAGNAC;32;76;1;43.784530317352505; -0.07063476279427523;32110;
29239;32100;Cazeneuve;CAZENEUVE;32;76;1;43.88902832202485; 0.1640383695466998;32800;
29240;32161;Izotges;IZOTGES;32;76;1;43.65552767395113; -0.01809063590207126;32400;
29241;2A040;Bocognano;BOCOGNANO;2A;94;1;42.08873998504364; 9.070833811890747;20136;
29242;2A142;Levie;LEVIE;2A;94;1;41.65159375643402; 9.115754020020427;20170;
29243;2A312;Santa-Maria-Siché;SANTA-MARIA-SICHÉ;2A;94;1;41.88450028780623; 8.979258890595785;20190;
29244;2A336;Valle-di-Mezzana;VALLE-DI-MEZZANA;2A;94;1;42.02367764376796; 8.82021834034406;20167;
29245;2A359;Zicavo;ZICAVO;2A;94;1;41.88442062035528; 9.16690352999952;20132;
29246;2B013;Alzi;ALZI;2B;94;1;42.31255727375615; 9.31420953872133;20212;
29247;2B102;Crocicchia;CROCICCHIA;2B;94;1;42.47357272183287; 9.352553042171877;20290;
29248;2B216;Piazzali;PIAZZALI;2B;94;1;42.31984329933632; 9.406252239634743;20234;
